popularity,title,genres,release_year,budget,revenue,Is_Novel,production_companies
9.335014,Furious 7,Thriller,2015,174799923.088034,1385748801.47053,No,Universal Pictures
9.1107,The Revenant,Western,2015,124199945.352024,490314247.021731,Yes,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures
9.1107,The Revenant,Drama,2015,124199945.352024,490314247.021731,Yes,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures
9.1107,The Revenant,Adventure,2015,124199945.352024,490314247.021731,Yes,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures
9.1107,The Revenant,Thriller,2015,124199945.352024,490314247.021731,Yes,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures
8.654359,Terminator Genisys,Science Fiction,2015,142599937.256028,405355075.683767,No,Paramount Pictures
8.654359,Terminator Genisys,Action,2015,142599937.256028,405355075.683767,No,Paramount Pictures
8.654359,Terminator Genisys,Thriller,2015,142599937.256028,405355075.683767,No,Paramount Pictures
8.654359,Terminator Genisys,Adventure,2015,142599937.256028,405355075.683767,No,Paramount Pictures
7.6674,The Martian,Drama,2015,99359956.2816192,547749654.310152,Yes,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment
7.6674,The Martian,Adventure,2015,99359956.2816192,547749654.310152,Yes,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment
7.6674,The Martian,Science Fiction,2015,99359956.2816192,547749654.310152,Yes,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment
7.404164999999999,Minions,Family,2015,68079970.0448132,1064192016.79551,No,Universal Pictures
7.404164999999999,Minions,Animation,2015,68079970.0448132,1064192016.79551,No,Universal Pictures
7.404164999999999,Minions,Adventure,2015,68079970.0448132,1064192016.79551,No,Universal Pictures
7.404164999999999,Minions,Comedy,2015,68079970.0448132,1064192016.79551,No,Universal Pictures
6.326804,Inside Out,Comedy,2015,160999929.160031,785411574.698907,No,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures
6.326804,Inside Out,Animation,2015,160999929.160031,785411574.698907,No,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures
6.326804,Inside Out,Family,2015,160999929.160031,785411574.698907,No,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures
6.200282,Spectre,Action,2015,225399900.824044,810220283.783075,Yes,Columbia Pictures|Danjaq|B24
6.200282,Spectre,Adventure,2015,225399900.824044,810220283.783075,Yes,Columbia Pictures|Danjaq|B24
6.200282,Spectre,Crime,2015,225399900.824044,810220283.783075,Yes,Columbia Pictures|Danjaq|B24
6.189369,Jupiter Ascending,Science Fiction,2015,161919931.51523,169268630.681803,No,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.
6.189369,Jupiter Ascending,Fantasy,2015,161919931.51523,169268630.681803,No,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.
6.189369,Jupiter Ascending,Action,2015,161919931.51523,169268630.681803,No,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.
6.189369,Jupiter Ascending,Adventure,2015,161919931.51523,169268630.681803,No,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.
6.118847,Ex Machina,Drama,2015,13799993.9280027,33919845.9552678,No,Universal Pictures
6.118847,Ex Machina,Science Fiction,2015,13799993.9280027,33919845.9552678,No,Universal Pictures
5.984995,Pixels,Action,2015,80959964.3776157,224146025.095749,No,Columbia Pictures|Happy Madison Productions
5.984995,Pixels,Comedy,2015,80959964.3776157,224146025.095749,No,Columbia Pictures|Happy Madison Productions
5.984995,Pixels,Science Fiction,2015,80959964.3776157,224146025.095749,No,Columbia Pictures|Happy Madison Productions
5.944927,Avengers: Age of Ultron,Action,2015,257599886.65605,1292632336.88177,No,Marvel Studios|Prime Focus|Revolution Sun Studios
5.944927,Avengers: Age of Ultron,Adventure,2015,257599886.65605,1292632336.88177,No,Marvel Studios|Prime Focus|Revolution Sun Studios
5.944927,Avengers: Age of Ultron,Science Fiction,2015,257599886.65605,1292632336.88177,No,Marvel Studios|Prime Focus|Revolution Sun Studios
5.8984,The Hateful Eight,Crime,2015,40479982.1888078,143299244.588332,No,Double Feature Films|The Weinstein Company|FilmColony
5.8984,The Hateful Eight,Drama,2015,40479982.1888078,143299244.588332,No,Double Feature Films|The Weinstein Company|FilmColony
5.8984,The Hateful Eight,Mystery,2015,40479982.1888078,143299244.588332,No,Double Feature Films|The Weinstein Company|FilmColony
5.8984,The Hateful Eight,Western,2015,40479982.1888078,143299244.588332,No,Double Feature Films|The Weinstein Company|FilmColony
5.749758,Taken 3,Crime,2015,44159980.5696086,299709578.207786,No,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|Ciné+
5.749758,Taken 3,Action,2015,44159980.5696086,299709578.207786,No,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|Ciné+
5.749758,Taken 3,Thriller,2015,44159980.5696086,299709578.207786,No,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|Ciné+
5.573184,Ant-Man,Science Fiction,2015,119599947.376023,477113780.029937,No,Marvel Studios
5.573184,Ant-Man,Action,2015,119599947.376023,477113780.029937,No,Marvel Studios
5.573184,Ant-Man,Adventure,2015,119599947.376023,477113780.029937,No,Marvel Studios
5.556818,Cinderella,Romance,2015,87399961.5440169,498963025.216269,No,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions
5.556818,Cinderella,Fantasy,2015,87399961.5440169,498963025.216269,No,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions
5.556818,Cinderella,Family,2015,87399961.5440169,498963025.216269,No,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions
5.556818,Cinderella,Drama,2015,87399961.5440169,498963025.216269,No,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions
5.476958,The Hunger Games: Mockingjay - Part 2,War,2015,147199935.232029,598481289.508233,No,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force
5.476958,The Hunger Games: Mockingjay - Part 2,Adventure,2015,147199935.232029,598481289.508233,No,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force
5.476958,The Hunger Games: Mockingjay - Part 2,Science Fiction,2015,147199935.232029,598481289.508233,No,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force
5.462138,Tomorrowland,Action,2015,174799923.088034,192312729.942399,No,Walt Disney Pictures|Babieka|A113
5.462138,Tomorrowland,Family,2015,174799923.088034,192312729.942399,No,Walt Disney Pictures|Babieka|A113
5.462138,Tomorrowland,Science Fiction,2015,174799923.088034,192312729.942399,No,Walt Disney Pictures|Babieka|A113
5.462138,Tomorrowland,Adventure,2015,174799923.088034,192312729.942399,No,Walt Disney Pictures|Babieka|A113
5.462138,Tomorrowland,Mystery,2015,174799923.088034,192312729.942399,No,Walt Disney Pictures|Babieka|A113
5.337064,Southpaw,Action,2015,27599987.8560053,84373003.7158784,No,Escape Artists|Riche-Ludwig Productions
5.337064,Southpaw,Drama,2015,27599987.8560053,84373003.7158784,No,Escape Artists|Riche-Ludwig Productions
4.907832,San Andreas,Action,2015,101199955.47202,432851374.985395,No,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company
4.907832,San Andreas,Drama,2015,101199955.47202,432851374.985395,No,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company
4.907832,San Andreas,Thriller,2015,101199955.47202,432851374.985395,No,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company
4.710401999999998,Fifty Shades of Grey,Drama,2015,36799983.8080071,524079119.045188,Yes,Focus Features|Trigger Street Productions|Michael De Luca Productions
4.710401999999998,Fifty Shades of Grey,Romance,2015,36799983.8080071,524079119.045188,Yes,Focus Features|Trigger Street Productions|Michael De Luca Productions
4.648046,The Big Short,Comedy,2015,25759988.665605,122678731.541358,No,Paramount Pictures
4.648046,The Big Short,Drama,2015,25759988.665605,122678731.541358,No,Paramount Pictures
4.566713,Mission: Impossible - Rogue Nation,Action,2015,137999939.280027,627743451.672881,No,Paramount Pictures
4.564549,Ted 2,Comedy,2015,62559972.4736121,198594430.138451,No,Universal Pictures
4.503789,Kingsman: The Secret Service,Crime,2015,74519967.2112144,371497801.660967,No,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions
4.503789,Kingsman: The Secret Service,Comedy,2015,74519967.2112144,371497801.660967,No,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions
4.503789,Kingsman: The Secret Service,Action,2015,74519967.2112144,371497801.660967,No,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions
4.503789,Kingsman: The Secret Service,Adventure,2015,74519967.2112144,371497801.660967,No,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions
4.062293,Spotlight,Drama,2015,18399991.9040036,81278719.3973635,No,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features
4.062293,Spotlight,Thriller,2015,18399991.9040036,81278719.3973635,No,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features
4.062293,Spotlight,History,2015,18399991.9040036,81278719.3973635,No,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features
3.968891,Maze Runner: The Scorch Trials,Action,2015,56119975.3072109,286356245.923252,Yes,Gotham Group|Temple Hill Entertainment|TSG Entertainment
3.968891,Maze Runner: The Scorch Trials,Science Fiction,2015,56119975.3072109,286356245.923252,Yes,Gotham Group|Temple Hill Entertainment|TSG Entertainment
3.968891,Maze Runner: The Scorch Trials,Thriller,2015,56119975.3072109,286356245.923252,Yes,Gotham Group|Temple Hill Entertainment|TSG Entertainment
3.899557,Chappie,Crime,2015,45079980.1648087,93903685.2423785,No,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films
3.899557,Chappie,Action,2015,45079980.1648087,93903685.2423785,No,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films
3.899557,Chappie,Science Fiction,2015,45079980.1648087,93903685.2423785,No,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films
3.877764,Pitch Perfect 2,Comedy,2015,26679988.2608052,264505582.097544,No,Universal Pictures
3.877764,Pitch Perfect 2,Music,2015,26679988.2608052,264505582.097544,No,Universal Pictures
3.64821,Bridge of Spies,Thriller,2015,36799983.8080071,149601569.33531,No,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions
3.64821,Bridge of Spies,Drama,2015,36799983.8080071,149601569.33531,No,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions
3.644541,Goosebumps,Adventure,2015,53359976.5216103,138157089.010881,Yes,Columbia Pictures|Original Film|Scholastic Entertainment
3.644541,Goosebumps,Horror,2015,53359976.5216103,138157089.010881,Yes,Columbia Pictures|Original Film|Scholastic Entertainment
3.644541,Goosebumps,Comedy,2015,53359976.5216103,138157089.010881,Yes,Columbia Pictures|Original Film|Scholastic Entertainment
3.557846,Room,Drama,2015,5519997.57120107,32569603.0293747,Yes,Element Pictures|No Trace Camping|A24|Duperele Films
3.557846,Room,Thriller,2015,5519997.57120107,32569603.0293747,Yes,Element Pictures|No Trace Camping|A24|Duperele Films
3.339135,The Good Dinosaur,Adventure,2015,160999929.160031,305371920.876355,No,Walt Disney Pictures|Pixar Animation Studios|Buena Vista
3.339135,The Good Dinosaur,Animation,2015,160999929.160031,305371920.876355,No,Walt Disney Pictures|Pixar Animation Studios|Buena Vista
3.339135,The Good Dinosaur,Comedy,2015,160999929.160031,305371920.876355,No,Walt Disney Pictures|Pixar Animation Studios|Buena Vista
3.339135,The Good Dinosaur,Family,2015,160999929.160031,305371920.876355,No,Walt Disney Pictures|Pixar Animation Studios|Buena Vista
3.339135,The Good Dinosaur,Fantasy,2015,160999929.160031,305371920.876355,No,Walt Disney Pictures|Pixar Animation Studios|Buena Vista
3.23737,Run All Night,Action,2015,45999979.7600089,65836683.5118593,No,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment
3.23737,Run All Night,Crime,2015,45999979.7600089,65836683.5118593,No,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment
3.23737,Run All Night,Drama,2015,45999979.7600089,65836683.5118593,No,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment
3.23737,Run All Night,Mystery,2015,45999979.7600089,65836683.5118593,No,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment
3.23737,Run All Night,Thriller,2015,45999979.7600089,65836683.5118593,No,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment
3.227329,Brooklyn,Drama,2015,10119995.547202,57110024.5915892,Yes,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions
3.227329,Brooklyn,Romance,2015,10119995.547202,57110024.5915892,Yes,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions
3.202719,Straight Outta Compton,Drama,2015,25759988.665605,185504110.098192,No,Universal Pictures
3.202719,Straight Outta Compton,Music,2015,25759988.665605,185504110.098192,No,Universal Pictures
3.080505,The Last Witch Hunter,Fantasy,2015,82799963.568016,129164861.167461,No,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel
3.080505,The Last Witch Hunter,Action,2015,82799963.568016,129164861.167461,No,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel
3.080505,The Last Witch Hunter,Adventure,2015,82799963.568016,129164861.167461,No,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel
3.0795220000000003,Steve Jobs,History,2015,27599987.8560053,31686509.2179359,No,Universal Pictures
3.0795220000000003,Steve Jobs,Drama,2015,27599987.8560053,31686509.2179359,No,Universal Pictures
3.053421,The Man from U.N.C.L.E.,Comedy,2015,68999969.6400134,99493456.5028791,No,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment
3.053421,The Man from U.N.C.L.E.,Action,2015,68999969.6400134,99493456.5028791,No,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment
3.053421,The Man from U.N.C.L.E.,Adventure,2015,68999969.6400134,99493456.5028791,No,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment
3.025852,The Age of Adaline,Fantasy,2015,22999989.8800045,39219376.6634743,No,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity
3.025852,The Age of Adaline,Drama,2015,22999989.8800045,39219376.6634743,No,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity
3.025852,The Age of Adaline,Romance,2015,22999989.8800045,39219376.6634743,No,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity
3.023253,Hardcore Henry,Action,2015,9199995.95200178,13187080.9976844,No,Bazelevs Production|Versus Pictures
3.023253,Hardcore Henry,Adventure,2015,9199995.95200178,13187080.9976844,No,Bazelevs Production|Versus Pictures
3.023253,Hardcore Henry,Science Fiction,2015,9199995.95200178,13187080.9976844,No,Bazelevs Production|Versus Pictures
2.976436,Home,Fantasy,2015,124199945.352024,339361177.121082,No,Twentieth Century Fox Film Corporation|DreamWorks Animation
2.976436,Home,Comedy,2015,124199945.352024,339361177.121082,No,Twentieth Century Fox Film Corporation|DreamWorks Animation
2.976436,Home,Animation,2015,124199945.352024,339361177.121082,No,Twentieth Century Fox Film Corporation|DreamWorks Animation
2.976436,Home,Science Fiction,2015,124199945.352024,339361177.121082,No,Twentieth Century Fox Film Corporation|DreamWorks Animation
2.976436,Home,Family,2015,124199945.352024,339361177.121082,No,Twentieth Century Fox Film Corporation|DreamWorks Animation
2.968254,Paper Towns,Drama,2015,11039995.1424021,78671281.3846362,No,Fox 2000 Pictures
2.968254,Paper Towns,Mystery,2015,11039995.1424021,78671281.3846362,No,Fox 2000 Pictures
2.968254,Paper Towns,Romance,2015,11039995.1424021,78671281.3846362,No,Fox 2000 Pictures
2.885126,The Lobster,Thriller,2015,3679998.38080071,8339346.45068756,No,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film
2.885126,The Lobster,Comedy,2015,3679998.38080071,8339346.45068756,No,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film
2.885126,The Lobster,Drama,2015,3679998.38080071,8339346.45068756,No,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film
2.885126,The Lobster,Romance,2015,3679998.38080071,8339346.45068756,No,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film
2.885126,The Lobster,Science Fiction,2015,3679998.38080071,8339346.45068756,No,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film
2.883233,Carol,Romance,2015,10855995.2233621,37050347.8978469,No,Killer Films|Film4|Number 9 Films
2.883233,Carol,Drama,2015,10855995.2233621,37050347.8978469,No,Killer Films|Film4|Number 9 Films
2.814802,The Intern,Comedy,2015,32199985.8320062,178999419.480255,No,Waverly Films|Warner Bros.
2.798017,Everest,Adventure,2015,50599977.7360098,187153294.93255,No,Universal Pictures
2.798017,Everest,Drama,2015,50599977.7360098,187153294.93255,No,Universal Pictures
2.793297,Joy,Comedy,2015,55199975.7120107,93043293.3409509,No,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment
2.793297,Joy,Drama,2015,55199975.7120107,93043293.3409509,No,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment
2.6144990000000004,Point Break,Action,2015,96599957.4960187,123021159.99069,No,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions
2.6144990000000004,Point Break,Crime,2015,96599957.4960187,123021159.99069,No,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions
2.6144990000000004,Point Break,Thriller,2015,96599957.4960187,123021159.99069,No,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions
2.584264,Burnt,Drama,2015,18399991.9040036,33678188.741597,No,Double Feature Films|PeaPie Films|3 Arts Entertainment
2.578919,Self/less,Science Fiction,2015,23919989.4752046,28081355.5642036,No,Endgame Entertainment|Ram Bergman Productions
2.578919,Self/less,Mystery,2015,23919989.4752046,28081355.5642036,No,Endgame Entertainment|Ram Bergman Productions
2.578919,Self/less,Thriller,2015,23919989.4752046,28081355.5642036,No,Endgame Entertainment|Ram Bergman Productions
2.575711,Mortdecai,Comedy,2015,55199975.7120107,27985062.8865723,Yes,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media
2.575711,Mortdecai,Adventure,2015,55199975.7120107,27985062.8865723,Yes,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media
2.557859,The Danish Girl,Drama,2015,13799993.9280027,59056175.1752829,No,Pretty Pictures|Working Title Films|Artémis Productions|Le Tax Shelter du Gouvernement Fédéral de Belgique|Taxshelter. be
2.5507470000000003,Blackhat,Mystery,2015,64399971.6640125,16332697.6136131,No,Universal Pictures
2.5507470000000003,Blackhat,Crime,2015,64399971.6640125,16332697.6136131,No,Universal Pictures
2.5507470000000003,Blackhat,Action,2015,64399971.6640125,16332697.6136131,No,Universal Pictures
2.5507470000000003,Blackhat,Thriller,2015,64399971.6640125,16332697.6136131,No,Universal Pictures
2.5507470000000003,Blackhat,Drama,2015,64399971.6640125,16332697.6136131,No,Universal Pictures
2.487849,Sicario,Action,2015,27599987.8560053,77303716.7063646,No,Lionsgate|Thunder Road Pictures|Black Label Media
2.487849,Sicario,Crime,2015,27599987.8560053,77303716.7063646,No,Lionsgate|Thunder Road Pictures|Black Label Media
2.487849,Sicario,Drama,2015,27599987.8560053,77303716.7063646,No,Lionsgate|Thunder Road Pictures|Black Label Media
2.487849,Sicario,Mystery,2015,27599987.8560053,77303716.7063646,No,Lionsgate|Thunder Road Pictures|Black Label Media
2.487849,Sicario,Thriller,2015,27599987.8560053,77303716.7063646,No,Lionsgate|Thunder Road Pictures|Black Label Media
2.487042,Fantastic Four,Action,2015,110399952.344021,154539320.322699,No,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC)
2.487042,Fantastic Four,Adventure,2015,110399952.344021,154539320.322699,No,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC)
2.487042,Fantastic Four,Science Fiction,2015,110399952.344021,154539320.322699,No,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC)
2.46449,The Witch,Mystery,2015,3219998.58320062,37190013.0363943,No,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films
2.46449,The Witch,Horror,2015,3219998.58320062,37190013.0363943,No,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films
2.404473,Spy,Action,2015,59799973.6880116,216812826.082357,No,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment
2.404473,Spy,Comedy,2015,59799973.6880116,216812826.082357,No,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment
2.404473,Spy,Crime,2015,59799973.6880116,216812826.082357,No,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment
2.395366,Focus,Romance,2015,46091979.7195289,141645863.63582,No,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films
2.395366,Focus,Comedy,2015,46091979.7195289,141645863.63582,No,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films
2.395366,Focus,Crime,2015,46091979.7195289,141645863.63582,No,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films
2.395366,Focus,Drama,2015,46091979.7195289,141645863.63582,No,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films
2.354654,Hitman: Agent 47,Action,2015,32199985.8320062,75759810.1856835,No,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment
2.354654,Hitman: Agent 47,Crime,2015,32199985.8320062,75759810.1856835,No,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment
2.354654,Hitman: Agent 47,Thriller,2015,32199985.8320062,75759810.1856835,No,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment
2.345821,In the Heart of the Sea,Thriller,2015,91999959.5200178,86315059.3813739,No,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media
2.345821,In the Heart of the Sea,Drama,2015,91999959.5200178,86315059.3813739,No,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media
2.345821,In the Heart of the Sea,Adventure,2015,91999959.5200178,86315059.3813739,No,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media
2.345821,In the Heart of the Sea,Action,2015,91999959.5200178,86315059.3813739,No,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media
2.345821,In the Heart of the Sea,History,2015,91999959.5200178,86315059.3813739,No,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media
2.331567,Creed,Drama,2015,32199985.8320062,126900665.803707,No,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions
2.31767,Trainwreck,Comedy,2015,32199985.8320062,129532072.565888,No,Universal Pictures
2.29573,Eye in the Sky,Drama,2015,11959994.7376023,30220316.9030606,No,Entertainment One|Moonlighting Films|Raindog Films
2.29573,Eye in the Sky,Thriller,2015,11959994.7376023,30220316.9030606,No,Entertainment One|Moonlighting Films|Raindog Films
2.29573,Eye in the Sky,War,2015,11959994.7376023,30220316.9030606,No,Entertainment One|Moonlighting Films|Raindog Films
2.28135,Legend,Crime,2015,22999989.8800045,39535137.0845397,No,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE)
2.28135,Legend,Thriller,2015,22999989.8800045,39535137.0845397,No,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE)
2.234573,Pan,Adventure,2015,137999939.280027,118117202.428431,No,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment
2.234573,Pan,Family,2015,137999939.280027,118117202.428431,No,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment
2.234573,Pan,Fantasy,2015,137999939.280027,118117202.428431,No,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment
2.140199,The Peanuts Movie,Adventure,2015,91079959.9248176,226534364.28488,No,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment
2.140199,The Peanuts Movie,Animation,2015,91079959.9248176,226534364.28488,No,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment
2.140199,The Peanuts Movie,Comedy,2015,91079959.9248176,226534364.28488,No,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment
2.140199,The Peanuts Movie,Family,2015,91079959.9248176,226534364.28488,No,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment
